ObjectGUID;ObjectId;Alfa;Beta;Tau1;Phi1;I1;Tau2;Phi2;I2;Tau3;Phi3;I3;Tau4;Phi4;I4;J;Q;U;V;P;J0;Q0;U0;V0;P0;Alfa1;Beta1;Gamma;Re_Hi;Im_Hi;ErrorCode;ErrorCode01
{0075715F-0A69-4A65-9B2D-24B530D4F59D};187;8;18;0;0;0,585;0;1,570796327;0,125;0;0,785398163;0,355;1,570796327;0,785398163;0,355;0,71;0,46;-3,33067E-16;-3,33067E-16;0,647887324;0,607131683;-0,005381009;2,7726E-16;4,50224E-16;0,008863002;-5,68674E-16;8,04227E-16;0,785398163;-5,68674E-16;8,04227E-16;0;0
{0257BDAA-BD21-491A-9EB1-D074D07A86AF};43;2;0;0;0;0,055;0;1,570796327;0,055;0;0,785398163;0,055;1,570796327;0,785398163;0,055;0,11;0;0;0;0;0,163040217;-0,106465367;0;0;0,653000648;0;0;0,785398163;0;0;0;2
{050C0CAE-11F6-4348-AFE1-9BA8062B8102};114;5;8;0;0;1,28;0;1,570796327;1,215;0;0,785398163;1,24;1,570796327;0,785398163;1,24;2,495;0,065;-0,015;-0,015;0,027404397;3,635137208;-2,318486161;0,01248669;0,020276307;0,637832443;-0,113566677;0,157238101;0,785398163;-0,114057447;0,158546888;0;0
{06C5E045-19B6-42B1-BB25-B291DF6B7D91};116;5;10;0;0;0,165;0;1,570796327;0,075;0;0,785398163;0,12;1,570796327;0,785398163;0,12;0,24;0,09;-8,32667E-17;-8,32667E-17;0,375;0,268616082;-0,098891533;6,93151E-17;1,12556E-16;0,368151945;-7,26639E-16;1,02762E-15;0,785398163;-7,26639E-16;1,02762E-15;0;0
{07E657E8-BAA8-4BE1-9E4D-A6DFBD1DAD39};193;9;3;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{08F6427D-82F9-4148-9C00-A4ACF2E4D144};131;6;4;0;0;0,31;0;1,570796327;0,21;0;0,785398163;0,25;1,570796327;0,785398163;0,235;0,52;0,1;-0,02;-0,05;0,218419552;0,673948874;-0,355072449;0,008859303;0,059798072;0,534434513;-0,098817213;0,335859463;0,785398163;-0,099140119;0,349085023;0;0
{098EE2A1-01B5-42B9-B386-826C468B9687};59;2;16;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{0A1A9E68-158E-4DC2-9756-F614C159E739};88;4;3;0;0;0,925;0;1,570796327;0,195;0;0,785398163;0,455;1,570796327;0,785398163;0,56;1,12;0,73;-0,21;-5,55112E-16;0,678218893;0,953502954;-0,002016846;0,229340977;0,054527317;0,247238471;0;0;0,785398163;0;0;0;1
{0D7DC5C6-03AB-4A8A-86C6-F5ADDE9B6B69};31;1;9;0;0;0,15;0;1,570796327;0,15;0;0,785398163;0,15;1,570796327;0,785398163;0,15;0,3;0;0;0;0;0,444655138;-0,290360093;0;0;0,653000648;0;0;0,785398163;0;0;0;2
{0D85F22F-30D2-4B86-9BC9-B91F7E1C6DDB};12;0;11;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{0E65F53B-A995-4EE0-9745-FCFF09E3BAA5};50;2;7;0;0;0,555;0;1,570796327;0,235;0;0,785398163;0,395;1,570796327;0,785398163;0,395;0,79;0,32;-2,22045E-16;-2,22045E-16;0,405063291;0,861207763;-0,290316098;1,8484E-16;3,0015E-16;0,337103439;-5,44979E-16;7,70717E-16;0,785398163;-5,44979E-16;7,70717E-16;0;0
{0FED3670-DE4D-4E99-895F-B50884E53858};152;7;4;0;0;0,305;0;1,570796327;0,205;0;0,785398163;0,255;1,570796327;0,785398163;0,255;0,51;0,1;-5,55112E-17;-5,55112E-17;0,196078431;0,659127036;-0,345393779;4,621E-17;7,50374E-17;0,52401701;-4,35984E-16;6,16574E-16;0,785398163;-4,35984E-16;6,16574E-16;0;0
{11C1152B-B862-451F-9304-B7E197139267};37;1;15;0;0;0,19;0;1,570796327;0,14;0;0,785398163;0,165;1,570796327;0,785398163;0,165;0,33;0,05;-4,16334E-17;-4,16334E-17;0,151515152;0,440727303;-0,245286913;3,46575E-17;5,62781E-17;0,556550301;-6,53975E-16;9,24861E-16;0,785398163;-6,53975E-16;9,24861E-16;0;0
{1249F9B7-E12C-42EA-8611-A04D734163D7};160;7;12;0;0;0,565;0;1,570796327;0,085;0;0,785398163;0,033;1,570796327;0,785398163;0,325;0,65;0,48;-0,584;-3,33067E-16;1;0,498843316;0,082334685;0,637786335;0,151637872;1;0;0;0,785398163;0;0;0;1
{12ED6D90-2931-48A3-83BB-0D82F8C40630};112;5;6;0;0;0,53;0;1,570796327;0,21;0;0,785398163;0,32;1,570796327;0,785398163;0,37;0,74;0,32;-0,1;-2,22045E-16;0,45305553;0,787098574;-0,241922749;0,109209989;0,025965389;0,338836411;0;0;0,785398163;0;0;0;1
{135E5D99-3D08-49D6-9D02-53036BD5676E};142;6;15;0;0;0,86;0;1,570796327;0,4;0;0,785398163;0,63;1,570796327;0,785398163;0,63;1,26;0,46;-3,33067E-16;-3,33067E-16;0,365079365;1,422332769;-0,537707847;2,7726E-16;4,50224E-16;0,378046445;-5,68674E-16;8,04227E-16;0,785398163;-5,68674E-16;8,04227E-16;0;0
{16430969-6CD5-4B8A-8AA4-0BB1E1A20A42};132;6;5;0;0;1,14;0;1,570796327;0,14;0;0,785398163;0,64;1,570796327;0,785398163;0,64;1,28;1;-6,66134E-16;-6,66134E-16;0,78125;0,929328277;0,243314062;5,5452E-16;9,00449E-16;0,261817129;-5,2318E-16;7,39889E-16;0,785398163;-5,2318E-16;7,39889E-16;0;0
{17C7644F-F135-4A02-A968-F9EBD79D9742};83;3;19;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{18B04EEB-D4C1-4B48-8F89-B28BBC81E313};1;0;0;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{197C7EC7-264D-483E-B78F-1FFAA62F7318};200;9;10;0;0;0;0;1,570796327;0;0;0,785398163;0;1,570796327;0,785398163;0;0;0;0;0;0;0;0;0;0;0;0;0;0,785398163;0;0;0;2
{1AD72331-3B7A-445E-BA36-05F0CF323BEB};76;3;12;0;0;0,965;0;1,570796327;0,455;0;0,785398163;0,71;1,570796327;0,785398163;0,71;1,42;0,51;-4,44089E-16;-4,44089E-16;0,35915493;1,611088827;-0,618457373;3,6968E-16;6,00299E-16;0,383875403;-6,83896E-16;9,67175E-16;0,785398163;-6,83896E-16;9,67175E-16;0;0
{1B74194E-1746-49CE-8B34-31626222112E};151;7;3;0;0;0,09;0;1,570796327;0,06;0;0,785398163;0,09;1,570796327;0,785398163;0,075;0,15;0,03;0,03;-2,42861E-17;0,282842712;0,19329156;-0,100714533;-0,032762997;-0,007789617;0,549406388;0;0;0,785398163;0;0;0;1
