ObjectGUID;ObjectId;Sign;Number;ParameterName;ParameterValue
{01484B50-9149-46A3-8F7A-63CED9C91085};3490;C3;12;Pi[1];0,202245109
{07877F53-EB3A-42BC-924D-979F1F3198DF};3438;C1;8;Минимальное (норм.);-1,50964385
{08230E53-683C-441C-A2BC-807C292DA838};3477;C2;16;Tk=;3,210352942
{08C24960-7F39-4BD7-BD94-D2A2013CF810};3474;C2;13;Хи-квадрат (эмп.);10,92593684
{0951A145-F3DF-499A-8E4D-65D112BD7723};3478;C2;17;Ф(tk)=;0,998674279
{0A4E6181-C2CB-4658-AD55-A2FE223267EB};3500;C3;15;Ek=;1,243160556
{0A9102B4-4FAA-441B-8627-67E8B7096084};3501;C3;16;Tk=;2,131511921
{0BFD340A-9712-44A2-B620-28183A332478};3471;C2;17;N[3];0
{0EF43DD0-251B-4F50-8172-B3AB29591A22};3492;C3;14;Pi[2];0,304952066
{10628936-E331-4142-9CC8-D28177A31CED};3470;C2;16;Pi[3];0,048826288
{13E9F699-7A82-461A-9493-A3C0AAC66F06};3479;C3;1;Среднее (по всем);2,265183684
{16C574D7-6160-43ED-BDE9-558A3B919E5C};3457;C2;3;Минимальное;2,5
{1C7319A8-76BD-4EDD-95C4-EBD0D386CE88};3447;C1;17;N[3];2
{2508C56F-38EB-4406-AB25-3B6F105293BF};3436;C1;6;Дисперсия;0,028620049
{3034549A-48A8-4F23-86F2-6EB31BC411E0};3482;C3;4;Максимальное;2,871
{303F981A-17AC-41AB-9047-D94421F653EE};3435;C1;5;Среднее;1,93232744
{3189FABB-537D-418D-8875-BD61F5C2B90E};3462;C2;8;Минимальное (норм.);-0,867443332
{3EEA8A37-B319-45F5-B575-547AF731FF54};3441;C1;11;N[0];3
{42A4462C-C13B-4F69-B306-480D63F04DB1};3442;C1;12;Pi[1];0,212617335
{43A4F014-71F9-4E61-96BD-39153C90C5AD};3434;C1;4;Максимальное;2,211032576
{44021BEE-41B3-475F-A3A9-444CC95C41AB};3503;;0;Вероятность попадания объекта в класс;0,869618211
{44CEE91B-04B8-4D1E-83CC-54B685027C28};3440;C1;10;Pi[0];0,124343124
{4C335CAB-7278-45B0-BB35-0DE9226871F3};3451;C1;14;Хи-квадрат (теор.);5,991464547
{4EBDEDAE-F048-478C-96A3-E9B38FE976FA};3444;C1;14;Pi[2];0,247208028
{51E07097-C879-47C4-92B0-884A62DDE93D};3466;C2;12;Pi[1];0,298159051
{55555FD6-A92F-45AD-BA29-710EDCD75A53};3460;C2;6;Дисперсия;3,97004738
{586FB196-108D-4CC3-8D00-77B297BA6A8C};3484;C3;6;Дисперсия;0,340156608
{58EDBD91-167A-4478-9D7E-75AF0D80B4B9};3486;C3;8;Минимальное (норм.);-2,131511921
{626D28A9-0627-4924-9B83-2CB2270A7D65};3449;C1;19;N[4];2
{6F4B20B8-B371-4F50-97EB-03726D2AB56E};3475;C2;14;Хи-квадрат (теор.);5,991464547
{6F96E532-93C5-4CDF-B96D-65C870F7D6C7};3465;C2;11;N[0];9
{70AEBE0C-AF00-4DA9-A566-C0F5EF649213};3498;C3;13;Хи-квадрат (эмп.);4,859578618
{735759A5-0501-4412-A789-80E10F1AACF5};3456;C2;2;СКО (по всем);4,926078649
{766585A4-B7C5-4543-B849-FF77777242BB};3499;C3;14;Хи-квадрат (теор.);5,991464547
{7CC4A89F-FDDE-4A85-9A3C-508CFB2D6934};3483;C3;5;Среднее;1,802160556
{8800524F-6BB2-4F2E-A2BF-EA3537E3FC1E};3489;C3;11;N[0];2
{89DE66EE-4EE0-4B27-90F1-B62C98AD826D};3453;C1;16;Tk=;1,647440691
{8BD62FE7-B48A-449D-834A-6F6B66E7A0B5};3459;C2;5;Среднее;4,228378909
{8D32A858-C0B1-409D-9641-30BC5C2FD48F};3485;C3;7;СКО;0,583229464
{8EC1C56E-B943-4D7C-BA11-15CA7436EE53};3480;C3;2;СКО (по всем);2,096348481
{904EF1CA-2538-4421-8EF3-BE3795C6E6EE};3443;C1;13;N[1];1
{96B701E7-9B6D-4E74-BFA9-B79707281C1C};3461;C2;7;СКО;1,992497774
{976CAF02-A34B-4E4B-86F1-33EEF536F093};3481;C3;3;Минимальное;0,559
{97B18ED1-6F61-4E2E-A3E9-7BBD0DD6C6E5};3458;C2;4;Максимальное;10,625
{98168A3A-7814-4D7B-9D7A-B0C32B854C13};3439;C1;9;Максимальное (норм.);1,647440691
{9A8B5439-42FD-4590-96C4-BC7E77CDCBA8};3468;C2;14;Pi[2];0,165389271
{9D32D5FD-5257-4E12-9104-D77C6DCF5D2B};3488;C3;10;Pi[0];0,073813119
{A63F5ED7-6B17-4B48-BE35-B8D6CBDD6B37};3452;C1;15;Ek=;0,278705136
{A66179E1-647C-4EF8-BE7A-09DA0F8A9018};3476;C2;15;Ek=;6,396621091
{A9EEB429-D6D8-4414-A154-6EF01B612C5C};3494;C3;16;Pi[3];0,253248778
{B1BFA241-B355-47FA-92E8-DE0AE9F15912};3473;C2;19;N[4];1
{B30A85C7-9970-4722-B42A-17C1D0615D51};3448;C1;18;Pi[4];0,105075282
{B52CA2DB-C413-47A2-9669-7431C9C87BA4};3431;C1;1;Среднее (по всем);1,756934808
{C1EE971E-9AD1-4B04-A4C4-EB7BF2C1E8D7};3472;C2;18;Pi[4];0,007651999
{C7BC84AE-EFFB-4D3E-B339-C970E0BAC0E0};3502;C3;17;Ф(tk)=;0,966953009
{C83D7897-64BA-4766-90C9-0778794710D3};3450;C1;13;Хи-квадрат (эмп.);3,111461062
{CADEE3FF-E1DB-4EC7-92D3-145D14F3502F};3446;C1;16;Pi[3];0,195455319
{CD0E3632-9A5F-49DC-9B1A-264BCFC4F05D};3455;C2;1;Среднее (по всем);5,976077119
{D0EC6105-5A40-44D1-81C1-B7E1E310F949};3432;C1;2;СКО (по всем);0,961873
