ObjectGUID;ObjectId;MaterialName;ReValueMin;ImValueMin;ReValueMax;ImValueMax
{1F901B9F-F4F2-4907-952F-9824FC6E4115};8;Кварц;1.54;0;1.55;0
{209520CB-0710-4EAD-9912-4BF9B1220CDE};17;Молибден;3.15;-3.72;3.15;-3.72
{20A78D03-15D9-49A4-A6C0-03BB5D8DF921};11;Серебро;0.11;-2.94;0.11;-2.94
{3E89C39A-257F-403F-9025-E2B2F166F3B5};16;Ниобий;2.13;-3.07;2.13;-3.07
{475D2083-E6B9-4B87-B9F8-61D138C4D93A};14;Никель;1.54;-3.1;1.54;-3.1
{6754AF25-2738-488A-B9E1-5A365F13E5F1};4;Нержавеющая сталь;1.46;-3.17;1.46;-3.17
{6B254C1D-3C4D-459E-98C2-7BC8E3CB3C01};15;Золото;0.5;-2.04;0.5;-2.04
{6C5EBF26-7F0F-4D92-888A-C44AA8EA1363};5;Стеклоткань;10.89;0;10.89;0
{7D20F709-06DF-462C-A67C-D8D8DB777D3D};3;Сплавы титана;2.1;-2.8;2.2;-2.9
{83E5461A-E5E3-432A-8399-2B2173C9BA27};6;Кремниевое стекло;1.5;0;1.8;0
{93CB651B-378D-4858-BB53-D650AABFE0A8};10;Сплав алюминия со сталью;0.95;-3.8;0.95;-3.8
{9AD876E7-4A3B-447F-917D-22D818B6E7EC};18;Платина;1.76;-3.59;1.76;-3.59
{B50EF9A1-BE58-48C5-99B1-8423D50B33EA};7;Двуокись кремния;1.46;0;1.46;0
{B8F36E0B-B2C8-46AA-A46D-F071BE76A459};2;Сплавы алюминия;0.5;-4.2;0.8;-4.6
{C2B9574A-5F00-4049-A248-9F3DC3B1DF2D};9;Молибденовая проволока с золотым покрытием;0.9;-2.5;0.9;-2.5
{DEA17CC1-C6A0-4B21-9388-A1B5BA8AF46D};13;Сульфид свинца;1.7;-3.3;1.7;-3.3
{ECAD697B-D95A-48CB-9EDF-6D295D31D94C};1;Алюминий;0.5;-4.59;0.5;-4.59
{FF94B964-5670-4CD3-8ECB-5C7D8A545DA1};12;Вольфрам;3.31;-0.89;3.31;-0.89
